               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.015829,            0.014284,           0.0022234,               0.988,             0.99097,             0.99396,             0.92942,           0.0088655,           0.0080538,           0.0017466,            0.008218,            0.008218,            0.008218
                  20,            0.015527,            0.014098,           0.0022255,             0.99375,             0.99316,             0.99415,             0.93728,           0.0089408,           0.0081174,           0.0017531,            0.008119,            0.008119,            0.008119
                  21,            0.014933,            0.013685,           0.0021141,              0.9929,             0.99389,             0.99417,             0.93966,           0.0086126,           0.0079557,           0.0017107,             0.00802,             0.00802,             0.00802
                  22,            0.014726,            0.013503,           0.0021003,             0.98886,             0.99446,             0.99449,             0.94076,           0.0086606,           0.0082272,           0.0016251,            0.007921,            0.007921,            0.007921
                  23,              0.0149,            0.013721,           0.0020671,              0.9945,             0.99513,             0.99416,             0.94212,           0.0083909,           0.0082583,           0.0015583,            0.007822,            0.007822,            0.007822
                  24,            0.014716,            0.013467,            0.002043,             0.99502,             0.99395,             0.99447,             0.94638,           0.0081723,           0.0076178,           0.0015954,            0.007723,            0.007723,            0.007723
                  25,            0.014264,            0.013156,            0.002026,             0.99506,             0.99564,             0.99426,             0.94239,           0.0082105,            0.007427,           0.0016404,            0.007624,            0.007624,            0.007624
                  26,            0.014162,            0.013073,           0.0019942,             0.99423,             0.99521,             0.99452,             0.94939,           0.0080693,           0.0075285,           0.0016187,            0.007525,            0.007525,            0.007525
                  27,            0.013821,            0.012836,           0.0019212,             0.98903,             0.99089,             0.99451,             0.94248,           0.0079473,           0.0076233,           0.0015469,            0.007426,            0.007426,            0.007426
                  28,            0.013842,              0.0128,           0.0019677,             0.99452,             0.99698,              0.9946,             0.95438,           0.0076927,           0.0074841,           0.0014706,            0.007327,            0.007327,            0.007327
                  29,            0.013677,            0.012499,           0.0019183,             0.99376,             0.99536,             0.99467,             0.94731,           0.0076623,            0.007266,           0.0014881,            0.007228,            0.007228,            0.007228
                  30,             0.01327,            0.012368,           0.0018926,             0.98719,             0.99135,               0.994,             0.95829,            0.007451,           0.0068985,           0.0015266,            0.007129,            0.007129,            0.007129
                  31,            0.013294,            0.012339,           0.0018751,             0.99307,             0.99345,             0.99448,             0.95462,           0.0073822,           0.0069229,           0.0014756,             0.00703,             0.00703,             0.00703
                  32,            0.013183,            0.012274,           0.0018667,             0.99522,             0.99445,             0.99444,             0.95766,           0.0074064,           0.0068268,           0.0014567,            0.006931,            0.006931,            0.006931
                  33,            0.012935,            0.011993,           0.0018597,             0.98975,             0.99406,             0.99382,             0.95339,           0.0074483,           0.0066758,           0.0014333,            0.006832,            0.006832,            0.006832
                  34,            0.012791,            0.012048,           0.0018015,             0.99404,              0.9955,             0.99439,             0.95637,           0.0071088,           0.0065162,           0.0014506,            0.006733,            0.006733,            0.006733
                  35,            0.012767,             0.01201,           0.0018019,             0.99139,             0.99445,             0.99443,             0.95678,           0.0071472,           0.0066286,           0.0014406,            0.006634,            0.006634,            0.006634
                  36,             0.01253,            0.011927,           0.0018265,             0.98938,             0.99588,             0.99432,             0.95861,           0.0070048,           0.0066891,           0.0014507,            0.006535,            0.006535,            0.006535
                  37,            0.012214,            0.011523,           0.0017486,             0.99475,             0.99433,              0.9943,             0.95977,           0.0070086,           0.0064074,           0.0014152,            0.006436,            0.006436,            0.006436
