               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.013788,            0.014153,           0.0020145,             0.99542,             0.98667,             0.99459,              0.9499,           0.0074192,            0.006648,           0.0014307,            0.008218,            0.008218,            0.008218
                  20,            0.013525,            0.013879,           0.0020332,             0.99374,             0.98956,             0.99461,             0.95101,           0.0074504,            0.006845,           0.0014223,            0.008119,            0.008119,            0.008119
                  21,            0.013336,            0.013762,           0.0019992,             0.99768,             0.99657,             0.99475,             0.94978,           0.0073046,           0.0063414,           0.0014073,             0.00802,             0.00802,             0.00802
                  22,            0.013308,            0.013869,           0.0019656,             0.99691,             0.99483,             0.99459,             0.95232,             0.00723,            0.006183,           0.0014209,            0.007921,            0.007921,            0.007921
                  23,            0.013052,            0.013467,           0.0019421,             0.99809,             0.99213,             0.99463,             0.95068,           0.0070617,           0.0061643,           0.0013937,            0.007822,            0.007822,            0.007822
                  24,            0.012968,            0.013566,           0.0019183,             0.98851,             0.99379,             0.99418,              0.9576,           0.0070222,           0.0066221,           0.0014043,            0.007723,            0.007723,            0.007723
                  25,            0.012683,            0.013212,           0.0019014,             0.99172,             0.99593,             0.99469,             0.95811,           0.0068197,            0.005894,           0.0013725,            0.007624,            0.007624,            0.007624
                  26,            0.012677,            0.013209,            0.001895,             0.99098,             0.99631,              0.9946,             0.95915,           0.0067775,           0.0064261,           0.0013523,            0.007525,            0.007525,            0.007525
                  27,            0.012488,            0.012923,           0.0018977,             0.99762,             0.99643,             0.99472,             0.96084,           0.0066267,           0.0060853,           0.0013421,            0.007426,            0.007426,            0.007426
                  28,            0.012261,            0.012823,           0.0018607,             0.99633,             0.99059,             0.99463,             0.96122,           0.0064941,            0.006194,           0.0013099,            0.007327,            0.007327,            0.007327
                  29,            0.012312,            0.012814,           0.0018499,             0.99819,             0.97984,             0.99476,             0.96016,           0.0064562,           0.0058697,           0.0012896,            0.007228,            0.007228,            0.007228
                  30,            0.011994,            0.012406,           0.0018205,             0.99874,             0.97481,             0.99467,             0.95663,           0.0064797,           0.0059383,           0.0013218,            0.007129,            0.007129,            0.007129
                  31,            0.011994,            0.012542,           0.0018374,             0.99788,             0.97503,             0.99465,             0.96131,           0.0063512,           0.0058845,           0.0012763,             0.00703,             0.00703,             0.00703
                  32,            0.011771,            0.012253,           0.0017875,             0.99651,             0.98672,             0.99453,             0.95916,           0.0063035,           0.0062422,           0.0012582,            0.006931,            0.006931,            0.006931
                  33,            0.011791,            0.012417,           0.0018011,             0.99347,             0.99194,             0.99437,             0.96346,           0.0061872,           0.0055724,            0.001257,            0.006832,            0.006832,            0.006832
                  34,            0.011675,             0.01216,           0.0017483,             0.99635,             0.98249,             0.99467,             0.96166,            0.006092,           0.0054784,           0.0012443,            0.006733,            0.006733,            0.006733
                  35,            0.011585,            0.012104,           0.0017636,             0.99474,             0.99253,             0.99468,             0.96798,           0.0061511,           0.0054464,           0.0012497,            0.006634,            0.006634,            0.006634
                  36,             0.01133,            0.011868,           0.0017604,              0.9971,             0.99047,              0.9947,             0.96573,           0.0059862,           0.0054573,           0.0012375,            0.006535,            0.006535,            0.006535
                  37,            0.011271,            0.011769,           0.0016996,             0.99398,             0.99076,             0.99468,             0.96532,           0.0059818,           0.0053213,           0.0012393,            0.006436,            0.006436,            0.006436
                  38,            0.011234,            0.011808,           0.0017401,              0.9946,             0.99423,             0.99461,             0.96806,           0.0059143,           0.0053788,           0.0012181,            0.006337,            0.006337,            0.006337
                  39,            0.011292,            0.011758,           0.0017098,             0.99622,             0.97761,             0.99372,             0.96381,           0.0058671,           0.0054468,           0.0011896,            0.006238,            0.006238,            0.006238
                  40,            0.011034,            0.011434,           0.0016856,             0.99801,             0.97302,             0.99344,             0.96249,           0.0058074,           0.0051224,           0.0012005,            0.006139,            0.006139,            0.006139
                  41,            0.010928,            0.011397,           0.0017113,             0.98786,             0.99288,             0.99395,             0.96732,           0.0057401,           0.0049549,           0.0011882,             0.00604,             0.00604,             0.00604
                  42,            0.010795,            0.011262,           0.0016451,             0.99434,             0.98655,             0.99459,             0.96755,           0.0057887,           0.0051588,           0.0011834,            0.005941,            0.005941,            0.005941
                  43,            0.010831,            0.011303,           0.0016869,             0.99453,             0.98417,             0.99452,             0.96686,           0.0057753,           0.0050893,           0.0011726,            0.005842,            0.005842,            0.005842
                  44,             0.01056,            0.011057,           0.0016837,             0.99801,             0.97813,             0.99461,             0.96927,           0.0056266,           0.0047512,           0.0011716,            0.005743,            0.005743,            0.005743
                  45,            0.010689,            0.011219,           0.0016507,             0.99302,             0.99383,             0.99463,             0.96799,           0.0056299,            0.004791,           0.0011675,            0.005644,            0.005644,            0.005644
                  46,            0.010557,            0.010989,           0.0016426,             0.99457,             0.99455,             0.99467,             0.96857,           0.0055653,           0.0047597,           0.0011638,            0.005545,            0.005545,            0.005545
                  47,            0.010409,              0.0109,             0.00159,             0.99705,             0.99182,             0.99478,              0.9684,           0.0055317,           0.0047575,           0.0011425,            0.005446,            0.005446,            0.005446
                  48,            0.010438,            0.010944,           0.0016192,             0.99605,             0.98553,             0.99469,             0.96795,            0.005547,           0.0047806,           0.0011413,            0.005347,            0.005347,            0.005347
                  49,             0.01036,            0.010887,           0.0016174,             0.99263,             0.99308,             0.99447,             0.96776,           0.0055246,           0.0046542,           0.0011295,            0.005248,            0.005248,            0.005248
                  50,            0.010159,            0.010688,           0.0015995,              0.9909,             0.99025,             0.99423,             0.96987,           0.0054631,           0.0046698,           0.0011178,            0.005149,            0.005149,            0.005149
                  51,            0.010167,            0.010606,           0.0016181,             0.99059,              0.9871,              0.9943,             0.97104,           0.0054264,           0.0047213,            0.001115,             0.00505,             0.00505,             0.00505
                  52,            0.010026,            0.010464,           0.0015992,             0.99013,             0.98468,             0.99408,             0.97025,            0.005382,           0.0046813,           0.0011111,            0.004951,            0.004951,            0.004951
                  53,            0.010005,            0.010444,           0.0015927,             0.99109,             0.99285,             0.99411,             0.97025,           0.0053544,           0.0046419,           0.0011078,            0.004852,            0.004852,            0.004852
                  54,           0.0098413,            0.010218,           0.0015808,             0.99285,             0.99416,             0.99467,              0.9709,           0.0053416,           0.0045208,           0.0011029,            0.004753,            0.004753,            0.004753
                  55,           0.0098253,            0.010183,           0.0015565,             0.99468,             0.98911,             0.99471,              0.9707,           0.0052938,           0.0045025,           0.0010998,            0.004654,            0.004654,            0.004654
                  56,           0.0096983,            0.010051,           0.0015634,             0.99656,             0.99674,             0.99483,             0.97151,           0.0052691,           0.0044604,            0.001093,            0.004555,            0.004555,            0.004555
                  57,           0.0096215,            0.010016,           0.0015319,             0.99601,             0.99344,             0.99479,              0.9717,           0.0052511,           0.0043612,           0.0010861,            0.004456,            0.004456,            0.004456
                  58,           0.0094835,           0.0098895,           0.0015372,             0.99522,             0.98238,             0.99467,             0.97193,           0.0052241,             0.00436,           0.0010772,            0.004357,            0.004357,            0.004357
                  59,           0.0095116,           0.0099899,           0.0015378,             0.99356,             0.98954,             0.99469,             0.97191,           0.0051944,           0.0044131,           0.0010707,            0.004258,            0.004258,            0.004258
                  60,           0.0093184,           0.0096889,           0.0015185,             0.99552,             0.99361,             0.99471,             0.97184,           0.0051687,           0.0044351,           0.0010673,            0.004159,            0.004159,            0.004159
                  61,            0.009209,           0.0096735,           0.0015009,             0.99598,             0.99566,             0.99476,             0.97193,           0.0051386,           0.0044436,           0.0010581,             0.00406,             0.00406,             0.00406
                  62,           0.0091865,           0.0095144,           0.0014903,             0.99594,             0.99445,             0.99477,             0.97193,             0.00512,           0.0044761,            0.001048,            0.003961,            0.003961,            0.003961
                  63,            0.009112,           0.0094079,           0.0015019,             0.99591,             0.99425,             0.99475,              0.9725,           0.0051146,              0.0045,           0.0010401,            0.003862,            0.003862,            0.003862
                  64,           0.0090833,           0.0094307,           0.0014957,             0.99623,             0.99462,             0.99476,             0.97205,           0.0050969,           0.0044698,           0.0010349,            0.003763,            0.003763,            0.003763
                  65,           0.0089284,           0.0091275,           0.0014478,             0.99688,             0.99395,             0.99478,             0.97242,           0.0050802,           0.0044144,           0.0010253,            0.003664,            0.003664,            0.003664
                  66,           0.0088557,           0.0092427,           0.0014616,             0.99685,             0.99286,             0.99479,             0.97194,            0.005064,           0.0043157,           0.0010201,            0.003565,            0.003565,            0.003565
                  67,           0.0087932,           0.0091385,           0.0014637,             0.99646,             0.99282,              0.9948,             0.97291,           0.0050451,           0.0042883,           0.0010145,            0.003466,            0.003466,            0.003466
                  68,           0.0087475,           0.0090739,           0.0014493,             0.99696,             0.99395,              0.9948,             0.97251,           0.0050389,           0.0042524,            0.001007,            0.003367,            0.003367,            0.003367
                  69,           0.0086352,           0.0089867,           0.0014343,             0.99641,              0.9931,             0.99482,             0.97235,           0.0050328,           0.0042336,          0.00099831,            0.003268,            0.003268,            0.003268
                  70,           0.0084897,           0.0088415,           0.0014166,             0.99637,             0.99206,             0.99481,             0.97245,           0.0050203,           0.0042108,          0.00099072,            0.003169,            0.003169,            0.003169
                  71,           0.0084783,           0.0087955,           0.0014366,             0.99626,             0.99267,             0.99481,             0.97245,           0.0050025,           0.0042041,          0.00098386,             0.00307,             0.00307,             0.00307
                  72,           0.0083285,           0.0086172,           0.0014173,             0.99584,             0.99277,             0.99482,             0.97208,           0.0049866,            0.004201,          0.00097591,            0.002971,            0.002971,            0.002971
                  73,           0.0083312,           0.0085593,           0.0013961,             0.99631,             0.99257,             0.99482,             0.97265,           0.0049783,           0.0041851,          0.00096843,            0.002872,            0.002872,            0.002872
                  74,           0.0082518,            0.008499,           0.0014003,             0.99684,             0.99323,             0.99483,             0.97266,           0.0049655,           0.0041626,          0.00096167,            0.002773,            0.002773,            0.002773
                  75,           0.0080546,            0.008221,           0.0013787,             0.99688,             0.99273,             0.99483,               0.973,           0.0049557,           0.0041532,          0.00095526,            0.002674,            0.002674,            0.002674
                  76,           0.0080255,           0.0081992,           0.0013771,             0.99701,             0.99444,             0.99484,             0.97319,           0.0049389,           0.0041419,          0.00094924,            0.002575,            0.002575,            0.002575
                  77,           0.0080186,           0.0081498,           0.0013811,             0.99681,             0.99449,             0.99484,             0.97352,           0.0049259,            0.004125,          0.00094319,            0.002476,            0.002476,            0.002476
                  78,           0.0077765,           0.0079398,           0.0013374,             0.99725,             0.99449,             0.99484,             0.97415,           0.0049132,           0.0041096,          0.00093813,            0.002377,            0.002377,            0.002377
                  79,           0.0077427,           0.0079202,           0.0013485,             0.99733,             0.99449,             0.99484,             0.97403,           0.0049055,           0.0040818,          0.00093243,            0.002278,            0.002278,            0.002278
                  80,           0.0076722,           0.0079143,           0.0013201,             0.99734,             0.99449,             0.99484,             0.97412,           0.0048931,            0.004066,          0.00092718,            0.002179,            0.002179,            0.002179
                  81,             0.00752,           0.0076574,            0.001304,             0.99779,             0.99366,             0.99483,             0.97445,           0.0048855,           0.0040564,          0.00092194,             0.00208,             0.00208,             0.00208
                  82,           0.0075028,           0.0075824,           0.0013176,              0.9978,             0.99415,             0.99483,             0.97389,           0.0048788,           0.0040542,          0.00091638,            0.001981,            0.001981,            0.001981
                  83,           0.0074239,           0.0074832,           0.0013193,             0.99781,             0.99267,             0.99483,             0.97442,           0.0048735,           0.0040427,          0.00091174,            0.001882,            0.001882,            0.001882
                  84,           0.0073179,           0.0074265,           0.0012882,             0.99784,             0.99244,             0.99483,             0.97416,           0.0048645,           0.0040304,          0.00090672,            0.001783,            0.001783,            0.001783
                  85,           0.0072502,           0.0073046,           0.0012928,             0.99769,             0.99184,             0.99482,             0.97451,           0.0048588,           0.0040194,          0.00090222,            0.001684,            0.001684,            0.001684
                  86,           0.0070948,           0.0070816,           0.0012633,             0.99784,             0.99126,             0.99482,              0.9742,           0.0048498,           0.0040095,          0.00089805,            0.001585,            0.001585,            0.001585
                  87,           0.0070968,           0.0070016,           0.0012718,             0.99782,             0.99032,             0.99483,             0.97438,           0.0048421,           0.0040006,          0.00089406,            0.001486,            0.001486,            0.001486
                  88,           0.0069572,           0.0068926,           0.0012635,             0.99783,              0.9901,             0.99483,             0.97466,           0.0048343,           0.0039934,          0.00089022,            0.001387,            0.001387,            0.001387
                  89,           0.0068929,           0.0067657,           0.0012573,             0.99786,             0.98976,             0.99482,             0.97457,           0.0048266,           0.0039832,           0.0008862,            0.001288,            0.001288,            0.001288
                  90,           0.0068226,           0.0066651,           0.0012433,             0.99784,             0.98823,             0.99483,             0.97474,           0.0048199,           0.0039665,          0.00088202,            0.001189,            0.001189,            0.001189
                  91,           0.0067551,           0.0066722,           0.0012306,             0.99785,             0.98785,             0.99483,             0.97458,           0.0048127,           0.0039585,          0.00087784,             0.00109,             0.00109,             0.00109
                  92,           0.0066082,           0.0064306,           0.0012021,             0.99788,             0.98759,             0.99482,             0.97462,           0.0048067,           0.0039513,           0.0008739,            0.000991,            0.000991,            0.000991
                  93,           0.0065665,           0.0063193,           0.0011967,             0.99791,             0.98678,             0.99482,             0.97466,           0.0048018,           0.0039469,          0.00087033,            0.000892,            0.000892,            0.000892
                  94,           0.0064373,           0.0062334,           0.0011686,             0.99796,             0.98658,             0.99482,              0.9747,           0.0047982,           0.0039393,           0.0008667,            0.000793,            0.000793,            0.000793
                  95,           0.0064655,           0.0061475,           0.0011966,             0.99799,             0.98639,             0.99482,             0.97494,           0.0047955,           0.0039318,          0.00086296,            0.000694,            0.000694,            0.000694
                  96,           0.0063656,           0.0060382,           0.0011719,             0.99802,             0.98597,             0.99482,             0.97464,           0.0047918,           0.0039261,           0.0008594,            0.000595,            0.000595,            0.000595
                  97,           0.0063953,           0.0060144,           0.0012074,             0.99803,             0.98561,             0.99482,             0.97478,           0.0047899,           0.0039211,          0.00085555,            0.000496,            0.000496,            0.000496
                  98,           0.0062851,           0.0058722,           0.0011716,             0.99803,             0.98533,             0.99481,             0.97511,           0.0047867,           0.0039175,          0.00085191,            0.000397,            0.000397,            0.000397
                  99,           0.0062306,           0.0057919,           0.0011629,             0.99804,             0.98513,             0.99482,             0.97456,           0.0047861,           0.0039176,          0.00084868,            0.000298,            0.000298,            0.000298
