               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.012383,            0.011594,           0.0017304,             0.99524,             0.99386,             0.99433,             0.96197,           0.0067959,            0.006299,           0.0013741,            0.006436,            0.006436,            0.006436
                  38,            0.012033,            0.011302,           0.0016816,             0.99604,             0.99527,             0.99464,             0.96327,           0.0068942,           0.0061426,           0.0013715,            0.006337,            0.006337,            0.006337
                  39,            0.012107,            0.011484,           0.0017168,             0.99749,              0.9939,             0.99453,             0.96391,           0.0068864,           0.0063842,           0.0013392,            0.006238,            0.006238,            0.006238
                  40,            0.012044,            0.011451,           0.0017354,              0.9974,             0.99242,             0.99452,              0.9636,           0.0067647,           0.0062284,           0.0013249,            0.006139,            0.006139,            0.006139
                  41,            0.011867,            0.011247,           0.0016914,             0.99796,             0.99645,             0.99468,             0.96295,           0.0066323,           0.0061993,           0.0013248,             0.00604,             0.00604,             0.00604
                  42,            0.011757,            0.011208,           0.0017036,             0.99483,             0.98957,             0.99471,              0.9627,           0.0065679,           0.0060496,            0.001303,            0.005941,            0.005941,            0.005941
                  43,            0.011799,            0.011131,           0.0016881,              0.9978,             0.99471,             0.99478,             0.96055,           0.0065614,           0.0063466,            0.001292,            0.005842,            0.005842,            0.005842
                  44,             0.01165,            0.011001,           0.0016854,             0.99638,             0.99353,             0.99474,             0.96608,           0.0066315,           0.0065575,           0.0012776,            0.005743,            0.005743,            0.005743
                  45,            0.011293,            0.010738,           0.0016411,             0.99715,             0.99579,             0.99476,             0.96692,           0.0064578,           0.0064124,           0.0012827,            0.005644,            0.005644,            0.005644
                  46,            0.011464,            0.010901,           0.0016774,             0.99843,             0.99317,             0.99469,             0.96639,           0.0063927,           0.0063397,           0.0012654,            0.005545,            0.005545,            0.005545
                  47,            0.011451,            0.010874,           0.0016478,             0.99834,             0.99568,             0.99474,             0.96609,           0.0064438,           0.0062474,           0.0012572,            0.005446,            0.005446,            0.005446
                  48,            0.011113,            0.010614,           0.0016245,             0.99333,             0.99526,             0.99474,             0.96536,           0.0063187,           0.0060366,           0.0012694,            0.005347,            0.005347,            0.005347
                  49,            0.010864,            0.010309,           0.0015959,               0.997,             0.98009,             0.99459,             0.96601,           0.0062244,           0.0059283,           0.0012538,            0.005248,            0.005248,            0.005248
                  50,            0.010863,            0.010352,           0.0015885,             0.99715,             0.99739,             0.99474,             0.96867,           0.0062025,           0.0056641,           0.0012219,            0.005149,            0.005149,            0.005149
                  51,            0.010723,            0.010268,           0.0015846,             0.99747,             0.98557,             0.99459,             0.96763,           0.0061429,           0.0060346,           0.0012092,             0.00505,             0.00505,             0.00505
                  52,            0.010805,            0.010181,           0.0015806,             0.99653,             0.98943,             0.99464,              0.9684,           0.0060786,           0.0057757,           0.0012346,            0.004951,            0.004951,            0.004951
                  53,             0.01072,            0.010196,           0.0015567,             0.99727,             0.99187,             0.99464,             0.96902,           0.0061362,           0.0058278,           0.0012183,            0.004852,            0.004852,            0.004852
                  54,            0.010332,            0.010039,           0.0015308,              0.9977,             0.99787,             0.99472,             0.97158,            0.006058,           0.0057146,           0.0011911,            0.004753,            0.004753,            0.004753
                  55,            0.010384,           0.0099824,           0.0015599,             0.99709,             0.99439,             0.99468,             0.96925,           0.0059206,           0.0057064,           0.0011789,            0.004654,            0.004654,            0.004654
                  56,            0.010443,           0.0099996,           0.0015322,             0.99745,             0.98431,             0.99453,             0.97073,           0.0059617,           0.0054204,           0.0011688,            0.004555,            0.004555,            0.004555
                  57,            0.010291,           0.0098232,           0.0015227,             0.99853,             0.97825,             0.99413,             0.96922,           0.0058381,           0.0052677,           0.0011719,            0.004456,            0.004456,            0.004456
                  58,            0.010212,           0.0099103,           0.0015426,             0.99813,             0.97986,             0.99462,             0.97059,           0.0058662,           0.0056099,           0.0011627,            0.004357,            0.004357,            0.004357
                  59,            0.010029,           0.0095723,            0.001481,             0.99836,              0.9775,             0.99462,             0.97104,           0.0057745,           0.0056545,           0.0011559,            0.004258,            0.004258,            0.004258
                  60,           0.0097918,           0.0094386,           0.0014769,              0.9975,             0.98776,             0.99468,             0.97134,           0.0057568,           0.0055459,           0.0011348,            0.004159,            0.004159,            0.004159
